CAP_Name,Name,Population,Area,LAT,LONG,AVG M Income
AMNAT CHAROEN,Amnat Charoen,378107,3161,15.8657,104.6258,21172.9
ANG THONG,Ang Thong,281187,968,14.5896,100.4551,23350.6
BANGKOK,Bangkok,5682415,1565,13.7563,100.5018,45571.7
BUENG KAN,Bueng Kan,423032,4306,18.36303,103.65194,23766.6
BURIRAM,Buriram,1591905,10322,14.993,103.102921,18479.6
CHACHOENGSAO,Chachoengsao,709889,5351,13.6904,101.078,27554.9
CHAI NAT,Chai Nat,329722,2470,15.18636,100.12353,22058.9
CHAIYAPHUM,Chaiyaphum,1139356,12778,15.81047,102.02881,23829.5
CHANTHABURI,Chanthaburi,534459,6338,12.6112,102.1038,36023.5
CHIANG MAI,Chiang Mai,1746840,20107,18.79614,98.979263,14950.4
CHIANG RAI,Chiang Rai,1287615,11678,19.90858,99.8325,13497.2
CHONBURI,Chonburi,1509125,4363,13.3611,100.9847,27256.7
CHUMPHON,Chumphon,509650,6009,10.493,99.18,29306.1
KALASIN,Kalasin,986005,6947,16.43281,103.50658,15451.6
KAMPHAENG PHET,Kamphaeng Phet,729133,8607,16.4828,99.5227,20140.2
KANCHANABURI,Kanchanaburi,887979,19483,14.1011,99.4179,18883.8
KHON KAEN,Khon Kaen,1805910,10886,16.44671,102.833,21336.7
KRABI,Krabi,469769,4709,8.07257,98.91052,31011.5
LAMPANG,Lampang,746547,12534,18.2855,99.5128,20466.2
LAMPHUN,Lamphun,405918,4506,18.5745,99.0087,23834.3
LOEI,Loei,641666,11425,17.49052,101.72749,20990.4
LOPBURI,Lopburi,757273,6200,14.7995,100.6534,22955.1
MAE HONG SON,Mae Hong Son,279088,12681,19.302,97.9654,15119.4
MAHA SARAKHAM,Maha Sarakham,963072,5292,16.0132,103.1615,18540.3
MUKDAHAN,Mukdahan,350782,4340,16.5426,104.7021,22869.7
NAKHON NAYOK,Nakhon Nayok,259342,2122,14.20463,101.21295,23555
NAKHON PATHOM,Nakhon Pathom,911492,2168,13.8196,100.04427,40347
NAKHON PHANOM,Nakhon Phanom,718028,5513,17.41081,104.77856,15804.4
NAKHON RATCHASIMA,Nakhon Ratchasima,2639226,20494,14.97787,102.105171,26376.3
NAKHON SAWAN,Nakhon Sawan,1065334,9598,15.6987,100.12,21952.3
NAKHON SI THAMMARAT,Nakhon Si Thammarat,1557482,9943,8.4325,99.9599,25124
NAN,Nan,479838,11472,18.78378,100.77899,17886.2
NARATHIWAT,Narathiwat,796239,4475,6.4255,101.8253,19889.6
NONG BUA LAM PHU,Nong Bua Lam Phu,511641,3859,17.174,102.4495,22552.5
NONG KHAI,Nong Khai,521886,3027,17.8783,102.7413,21206.5
NONTHABURI,Nonthaburi,1229735,622,13.86075,100.51477,36884
PATHUM THANI,Pathum Thani,1129115,1526,14.0208,100.525,41056.9
PATTANI,Pattani,709796,1940,6.86814,101.25009,17513
PHANG NGA,Phang Nga,267491,4171,8.4501,98.5255,28842.3
PHATTHALUNG,Phatthalung,524857,3424,7.6167,100.074,21478.3
PHAYAO,Phayao,477100,6335,19.2154,100.2024,17673.1
PHETCHABUN,Phetchabun,995331,12668,16.41904,101.16056,21336.5
PHETCHABURI,Phetchaburi,482375,6225,13.11189,99.94467,26430.7
PHICHIT,Phichit,541868,4531,16.44184,100.34879,22100.5
PHITSANULOK,Phitsanulok,865368,10816,16.82481,100.25858,19235.1
PHRA NAKHON SI AYUTTHAYA,Phra Nakhon Si Ayutthaya,813852,2557,14.3692,100.5877,28379.4
PHRAE,Phrae,447564,6539,18.144577,100.140282,21795.5
PHUKET,Phuket,402017,543,7.9519,98.3381,31499.7
PRACHINBURI,Prachinburi,487544,4762,14.04992,101.36864,24165.6
PRACHUAP KHIRI KHAN,Prachuap Khiri Khan,543979,6368,11.7938,99.7958,23522.6
RANONG,Ranong,190399,3298,9.9529,98.6085,22034.7
RATCHABURI,Ratchaburi,871714,5196,13.5283,99.8134,19590
RAYONG,Rayong,674393,3552,12.68095,101.25798,30314.8
ROI ET,Roi Et,1307911,8299,16.0538,103.652,19990.4
SA KAEO,Sa Kaeo,561938,7195,13.824,102.0646,26953.4
SAKON NAKHON,Sakon Nakhon,1138609,9606,17.1664,104.1486,19280.9
SAMUT PRAKAN,Samut Prakan,1310766,1004,13.5991,100.5998,25457.2
SAMUT SAKHON,Samut Sakhon,568465,872,13.5475,100.2744,29347.4
SAMUT SONGKHRAM,Samut Songkhram,193902,417,13.4098,100.0023,18310.2
SARABURI,Saraburi,642040,3576,14.5289,100.9101,29413.4
SATUN,Satun,319700,2479,6.62314,100.06676,23208.5
SING BURI,Sing Buri,210088,822,14.8936,100.3967,18792.5
SISAKET,Sisaket,1472031,8840,15.1186,104.322,26112.2
SONGKHLA,Songkhla,1424230,7394,7.1898,100.5954,27659.9
SUKHOTHAI,Sukhothai,599319,6596,17.00778,99.823,22251.5
SUPHAN BURI,Suphan Buri,852003,5358,14.4745,100.1177,15786.2
SURAT THANI,Surat Thani,1057481,12891,9.1342,99.3334,36465.6
SURIN,Surin,1397180,8124,14.88181,103.49364,20314.6
TAK,Tak,644267,16407,16.86968,99.12898,20079.4
TRANG,Trang,643072,4918,7.5645,99.6239,23309.1
TRAT,Trat,229649,2819,12.24364,102.51514,25332.9
UBON RATCHATHANI,Ubon Ratchathani,1869633,15745,15.2448,104.8473,20452.5
UDON THANI,Udon Thani,1583092,11730,17.3647,102.8159,22817.4
UTHAI THANI,Uthai Thani,329942,6730,15.3835,100.0246,20114.5
UTTARADIT,Uttaradit,457092,7839,17.6201,100.0993,19239.4
YALA,Yala,527295,4521,6.5411,101.2804,15583.8
YASOTHON,Yasothon,539542,4162,15.7926,104.1453,19517.9
